"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
35044	Kingston and the Islands	Kingston et les Îles	New Democratic Party	Nouveau Parti démocratique	Sahai	Vic			29-Aug-21	3:30:00
35044	Kingston and the Islands	Kingston et les Îles	People's Party of Canada	Parti populaire du Canada	Sayle-Udall	Shelley		(705) 915-3618	27-Aug-21	2:00:00
35045	Kitchener Centre	Kitchener-Centre	People's Party of Canada	Parti populaire du Canada	Boskovic	Diane			27-Aug-21	1:30:00
35045	Kitchener Centre	Kitchener-Centre	Conservative Party of Canada	Parti conservateur du Canada	Henein Thorn	Mary		(226) 777-5855	25-Aug-21	7:00:00
35045	Kitchener Centre	Kitchener-Centre	Green Party of Canada	Le Parti Vert du Canada	Morrice	Mike		(226) 749-0099	27-Aug-21	11:30:00
35045	Kitchener Centre	Kitchener-Centre	Animal Protection Party of Canada	Le Parti pour la Protection des Animaux du Canada	Papenburg	Ellen		(519) 603-2550	28-Aug-21	2:00:00
35045	Kitchener Centre	Kitchener-Centre	Liberal Party of Canada	Parti libéral du Canada	Saini	Raj		(519) 584-9970	28-Aug-21	12:30:00
35045	Kitchener Centre	Kitchener-Centre	New Democratic Party	Nouveau Parti démocratique	Zubi	Beisan		(226) 773-9093	25-Aug-21	10:30:00
35046	Kitchener--Conestoga	Kitchener--Conestoga	Green Party of Canada	Le Parti Vert du Canada	Bradley	Owen			22-Aug-21	10:30:00
35046	Kitchener--Conestoga	Kitchener--Conestoga	People's Party of Canada	Parti populaire du Canada	Dupuis	Kevin		(519) 669-0480	21-Aug-21	10:00:00
35046	Kitchener--Conestoga	Kitchener--Conestoga	Conservative Party of Canada	Parti conservateur du Canada	Hawley	Carlene		(519) 745-3100	21-Aug-21	7:00:00
35046	Kitchener--Conestoga	Kitchener--Conestoga	Liberal Party of Canada	Parti libéral du Canada	Louis	Tim		(519) 208-4983	24-Aug-21	5:30:00
35046	Kitchener--Conestoga	Kitchener--Conestoga	New Democratic Party	Nouveau Parti démocratique	Sookram	Narine Dat		(519) 502-4607	29-Aug-21	12:00:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	New Democratic Party	Nouveau Parti démocratique	Arangath	Suresh		(226) 868-1842	21-Aug-21	12:00:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Baetz	Elaine		(613) 792-4475	29-Aug-21	8:30:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	People's Party of Canada	Parti populaire du Canada	Baumgaertner	Melissa		(226) 989-5232	24-Aug-21	1:30:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	Liberal Party of Canada	Parti libéral du Canada	Bradford	Valerie		(519) 513-2208	27-Aug-21	1:00:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	Conservative Party of Canada	Parti conservateur du Canada	Calver	Tyler		(519) 505-3722	21-Aug-21	12:00:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	Parti Rhinocéros Party	Parti Rhinocéros Party	Davis	Stephen		(519) 807-8870	29-Aug-21	9:30:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	Independent	Indépendant(e)	Morrison	C.A.			28-Aug-21	9:30:00
35047	Kitchener South--Hespeler	Kitchener-Sud--Hespeler	Green Party of Canada	Le Parti Vert du Canada	Rose	Gabe		(519) 591-5773	27-Aug-21	1:30:00
35048	Lambton--Kent--Middlesex	Lambton--Kent--Middlesex	New Democratic Party	Nouveau Parti démocratique	Henry	Jason			25-Aug-21	6:00:00
35048	Lambton--Kent--Middlesex	Lambton--Kent--Middlesex	Green Party of Canada	Le Parti Vert du Canada	Hull	Jeremy			27-Aug-21	11:30:00
35048	Lambton--Kent--Middlesex	Lambton--Kent--Middlesex	People's Party of Canada	Parti populaire du Canada	Mitchell	Kevin			29-Aug-21	7:15:00
35048	Lambton--Kent--Middlesex	Lambton--Kent--Middlesex	Liberal Party of Canada	Parti libéral du Canada	Ranade	Sudit			28-Aug-21	8:00:00
35048	Lambton--Kent--Middlesex	Lambton--Kent--Middlesex	Conservative Party of Canada	Parti conservateur du Canada	Rood	Lianne			24-Aug-21	12:00:00
35049	Lanark--Frontenac--Kingston	Lanark--Frontenac--Kingston	People's Party of Canada	Parti populaire du Canada	Bors	Florian			24-Aug-21	12:00:00
35049	Lanark--Frontenac--Kingston	Lanark--Frontenac--Kingston	Liberal Party of Canada	Parti libéral du Canada	Foxton	Michelle		1 888 920-8457	25-Aug-21	12:00:00
35049	Lanark--Frontenac--Kingston	Lanark--Frontenac--Kingston	New Democratic Party	Nouveau Parti démocratique	Garrison	Steve		(613) 546-2450	25-Aug-21	12:00:00
35049	Lanark--Frontenac--Kingston	Lanark--Frontenac--Kingston	Parti Rhinocéros Party	Parti Rhinocéros Party	Hamilton	Blake			24-Aug-21	12:00:00
35049	Lanark--Frontenac--Kingston	Lanark--Frontenac--Kingston	Green Party of Canada	Le Parti Vert du Canada	Neufeld	Calvin			29-Aug-21	12:00:00
35049	Lanark--Frontenac--Kingston	Lanark--Frontenac--Kingston	Conservative Party of Canada	Parti conservateur du Canada	Reid	Scott		1 800 504-2431	24-Aug-21	12:00:00
35050	Leeds-Grenville-Thousand Islands and Rideau Lakes	Leeds-Grenville-Thousand Islands et Rideau Lakes	Liberal Party of Canada	Parti libéral du Canada	Abbott	Roberta L		(613) 801-1660	25-Aug-21	4:00:00
35050	Leeds-Grenville-Thousand Islands and Rideau Lakes	Leeds-Grenville-Thousand Islands et Rideau Lakes	Conservative Party of Canada	Parti conservateur du Canada	Barrett	Michael		(613) 704-2583	23-Aug-21	9:30:00
35050	Leeds-Grenville-Thousand Islands and Rideau Lakes	Leeds-Grenville-Thousand Islands et Rideau Lakes	People's Party of Canada	Parti populaire du Canada	Cassell	Alex		(613) 498-4456	24-Aug-21	2:00:00
35050	Leeds-Grenville-Thousand Islands and Rideau Lakes	Leeds-Grenville-Thousand Islands et Rideau Lakes	Green Party of Canada	Le Parti Vert du Canada	Rekmans	Lorraine		(613) 796-2209	25-Aug-21	1:00:00
35050	Leeds-Grenville-Thousand Islands and Rideau Lakes	Leeds-Grenville-Thousand Islands et Rideau Lakes	New Democratic Party	Nouveau Parti démocratique	Taylor	Michelle		(613) 246-0008	26-Aug-21	8:30:00
35051	London--Fanshawe	London--Fanshawe	People's Party of Canada	Parti populaire du Canada	Free	Kyle			27-Aug-21	5:00:00
35051	London--Fanshawe	London--Fanshawe	Liberal Party of Canada	Parti libéral du Canada	Hammoud	Mohamed		(226) 330-0458	29-Aug-21	12:00:00
35051	London--Fanshawe	London--Fanshawe	New Democratic Party	Nouveau Parti démocratique	Mathyssen	Lindsay		(519) 451-0099	25-Aug-21	12:00:00
35051	London--Fanshawe	London--Fanshawe	Conservative Party of Canada	Parti conservateur du Canada	Vanderley	Mattias		(226) 364-3064	21-Aug-21	1:30:00
35052	London North Centre	London-Centre-Nord	People's Party of Canada	Parti populaire du Canada	Emery	Marc		(604) 209-6087	29-Aug-21	9:00:00
35052	London North Centre	London-Centre-Nord	Liberal Party of Canada	Parti libéral du Canada	Fragiskatos	Peter		(519) 266-4384	27-Aug-21	12:30:00
35052	London North Centre	London-Centre-Nord	Conservative Party of Canada	Parti conservateur du Canada	Gallant	Stephen			23-Aug-21	9:30:00
35052	London North Centre	London-Centre-Nord	Green Party of Canada	Le Parti Vert du Canada	Hodge	Mary Ann			29-Aug-21	8:30:00
35052	London North Centre	London-Centre-Nord	New Democratic Party	Nouveau Parti démocratique	Prout	Dirka		(226) 503-5716	27-Aug-21	9:30:00
35053	London West	London-Ouest	Libertarian Party of Canada	Parti Libertarien du Canada	Boudreau	Jacques Y			28-Aug-21	3:00:00
35053	London West	London-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Flack	Rob		(519) 914-5246	20-Aug-21	12:00:00
35053	London West	London-Ouest	Liberal Party of Canada	Parti libéral du Canada	Kayabaga	Arielle		(226) 289-2504	26-Aug-21	4:00:00
35053	London West	London-Ouest	New Democratic Party	Nouveau Parti démocratique	Lewkowitz	Shawna		(519) 914-6049	25-Aug-21	12:00:00
35053	London West	London-Ouest	People's Party of Canada	Parti populaire du Canada	McMullen	Mike		(519) 474-1631	28-Aug-21	3:30:00
35054	Markham--Stouffville	Markham--Stouffville	Green Party of Canada	Le Parti Vert du Canada	Baig	Uzair		(437) 239-3635	27-Aug-21	12:00:00
35054	Markham--Stouffville	Markham--Stouffville	People's Party of Canada	Parti populaire du Canada	De Vries	René			30-Aug-21	12:00:00
35054	Markham--Stouffville	Markham--Stouffville	Liberal Party of Canada	Parti libéral du Canada	Jaczek	Helena			27-Aug-21	12:00:00
35054	Markham--Stouffville	Markham--Stouffville	New Democratic Party	Nouveau Parti démocratique	Sahi	Muhammad Ahsin		(416) 587-9334	28-Aug-21	12:00:00
35054	Markham--Stouffville	Markham--Stouffville	Conservative Party of Canada	Parti conservateur du Canada	Smith	Ben		(289) 207-9331	27-Aug-21	12:00:00
35055	Markham--Thornhill	Markham--Thornhill	Conservative Party of Canada	Parti conservateur du Canada	Felian	Melissa		(613) 415-8880	22-Aug-21	2:00:00
35055	Markham--Thornhill	Markham--Thornhill	Green Party of Canada	Le Parti Vert du Canada	Lee	Mimi		(226) 785-9687	22-Aug-21	2:00:00
35055	Markham--Thornhill	Markham--Thornhill	Liberal Party of Canada	Parti libéral du Canada	Ng	Mary			26-Aug-21	2:00:00
35055	Markham--Thornhill	Markham--Thornhill	People's Party of Canada	Parti populaire du Canada	Pashaev	Ilia			30-Aug-21	6:00:00
35055	Markham--Thornhill	Markham--Thornhill	New Democratic Party	Nouveau Parti démocratique	Sahbaz	Paul			26-Aug-21	2:00:00
35056	Markham--Unionville	Markham--Unionville	Liberal Party of Canada	Parti libéral du Canada	Chiang	Paul		(365) 509-2305	28-Aug-21	6:00:00
35056	Markham--Unionville	Markham--Unionville	Green Party of Canada	Le Parti Vert du Canada	Kao	Elvin			30-Aug-21	2:00:00
35056	Markham--Unionville	Markham--Unionville	New Democratic Party	Nouveau Parti démocratique	Qureshi	Aftab		(416) 617-9360	29-Aug-21	4:30:00
35056	Markham--Unionville	Markham--Unionville	Conservative Party of Canada	Parti conservateur du Canada	Saroya	Bob		(289) 818-1525	22-Aug-21	12:00:00
35057	Milton	Milton	Conservative Party of Canada	Parti conservateur du Canada	Akbar	Nadeem		(289) 274-5140	26-Aug-21	7:30:00
35057	Milton	Milton	People's Party of Canada	Parti populaire du Canada	Haddad	Shibli		(416) 409-2792	28-Aug-21	7:00:00
35057	Milton	Milton	Green Party of Canada	Le Parti Vert du Canada	Kowalchuk	Chris			30-Aug-21	8:00:00
35057	Milton	Milton	New Democratic Party	Nouveau Parti démocratique	Sahi	Muhammad Riaz			30-Aug-21	5:00:00
35057	Milton	Milton	Liberal Party of Canada	Parti libéral du Canada	van Koeverden	Adam		(365) 355-6562	26-Aug-21	12:00:00
35058	Mississauga Centre	Mississauga-Centre	Liberal Party of Canada	Parti libéral du Canada	Alghabra	Omar		(289) 814-1338	27-Aug-21	10:30:00
35058	Mississauga Centre	Mississauga-Centre	People's Party of Canada	Parti populaire du Canada	Diab	Elie		(416) 897-9721	30-Aug-21	7:00:00
35058	Mississauga Centre	Mississauga-Centre	Green Party of Canada	Le Parti Vert du Canada	Laferriere	Craig			26-Aug-21	5:00:00
35058	Mississauga Centre	Mississauga-Centre	New Democratic Party	Nouveau Parti démocratique	Samuel	Teneshia			30-Aug-21	7:30:00
35058	Mississauga Centre	Mississauga-Centre	Conservative Party of Canada	Parti conservateur du Canada	Zhao	Kathy-Ying			27-Aug-21	4:30:00
35059	Mississauga East--Cooksville	Mississauga-Est--Cooksville	Conservative Party of Canada	Parti conservateur du Canada	Adamu	Grace		(905) 247-4855	28-Aug-21	3:00:00
35059	Mississauga East--Cooksville	Mississauga-Est--Cooksville	Independent	Indépendant(e)	Elliott	Gord			31-Aug-21	12:00:00
35059	Mississauga East--Cooksville	Mississauga-Est--Cooksville	Liberal Party of Canada	Parti libéral du Canada	Fonseca	Peter		(289) 633-3511	27-Aug-21	12:00:00
35059	Mississauga East--Cooksville	Mississauga-Est--Cooksville	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Sullivan	Dagmar		(613) 792-4475	28-Aug-21	5:00:00
35059	Mississauga East--Cooksville	Mississauga-Est--Cooksville	New Democratic Party	Nouveau Parti démocratique	Takacs	Tom			30-Aug-21	3:00:00
35059	Mississauga East--Cooksville	Mississauga-Est--Cooksville	People's Party of Canada	Parti populaire du Canada	Westover	Joseph			30-Aug-21	5:00:00
35060	Mississauga--Erin Mills	Mississauga--Erin Mills	People's Party of Canada	Parti populaire du Canada	Bayer	Michael		(416) 576-6777	26-Aug-21	7:00:00
35060	Mississauga--Erin Mills	Mississauga--Erin Mills	Green Party of Canada	Le Parti Vert du Canada	DeSilva	Ewan			26-Aug-21	9:30:00
35060	Mississauga--Erin Mills	Mississauga--Erin Mills	Liberal Party of Canada	Parti libéral du Canada	Khalid	Iqra			24-Aug-21	7:00:00
35060	Mississauga--Erin Mills	Mississauga--Erin Mills	Conservative Party of Canada	Parti conservateur du Canada	Nguyen	James			26-Aug-21	10:00:00
35060	Mississauga--Erin Mills	Mississauga--Erin Mills	New Democratic Party	Nouveau Parti démocratique	Usman	Kaukab			23-Aug-21	11:00:00
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	Conservative Party of Canada	Parti conservateur du Canada	Ras	Michael			26-Aug-21	12:00:00
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	Green Party of Canada	Le Parti Vert du Canada	Robertson	Elizabeth		(905) 301-1960	28-Aug-21	1:30:00
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	People's Party of Canada	Parti populaire du Canada	Seyfaie	Vahid			29-Aug-21	8:00:00
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	Liberal Party of Canada	Parti libéral du Canada	Spengemann	Sven		(437) 747-7836	28-Aug-21	5:30:00
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	Parti Rhinocéros Party	Parti Rhinocéros Party	Tahk	Kayleigh			29-Aug-21	5:00:00
35061	Mississauga--Lakeshore	Mississauga--Lakeshore	New Democratic Party	Nouveau Parti démocratique	Walji	Sarah			30-Aug-21	6:45:00
35062	Mississauga--Malton	Mississauga--Malton	New Democratic Party	Nouveau Parti démocratique	Ahmed	Waseem			28-Aug-21	12:30:00
35062	Mississauga--Malton	Mississauga--Malton	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Chilelli	Frank		(613) 792-4475	28-Aug-21	12:30:00
35062	Mississauga--Malton	Mississauga--Malton	Green Party of Canada	Le Parti Vert du Canada	Davidson	Mark			30-Aug-21	4:30:00
35062	Mississauga--Malton	Mississauga--Malton	Liberal Party of Canada	Parti libéral du Canada	Gaheer	Iqwinder			24-Aug-21	6:00:00
35062	Mississauga--Malton	Mississauga--Malton	Conservative Party of Canada	Parti conservateur du Canada	Roach	Clyde		(647) 203-7821	23-Aug-21	9:00:00
35063	Mississauga--Streetsville	Mississauga--Streetsville	New Democratic Party	Nouveau Parti démocratique	Hassan	Farina			28-Aug-21	1:00:00
35063	Mississauga--Streetsville	Mississauga--Streetsville	Green Party of Canada	Le Parti Vert du Canada	Hill	Chris		(905) 301-5950	29-Aug-21	7:30:00
35063	Mississauga--Streetsville	Mississauga--Streetsville	Conservative Party of Canada	Parti conservateur du Canada	Rattan	Jasveen			23-Aug-21	3:00:00
35063	Mississauga--Streetsville	Mississauga--Streetsville	Animal Protection Party of Canada	Le Parti pour la Protection des Animaux du Canada	Spizzirri	Natalie			30-Aug-21	6:30:00
35063	Mississauga--Streetsville	Mississauga--Streetsville	Liberal Party of Canada	Parti libéral du Canada	Valdez	Rechie			30-Aug-21	4:30:00
35063	Mississauga--Streetsville	Mississauga--Streetsville	People's Party of Canada	Parti populaire du Canada	Wolosz	Gurdeep			30-Aug-21	6:00:00
35064	Nepean	Nepean	Liberal Party of Canada	Parti libéral du Canada	Arya	Chandra			24-Aug-21	10:30:00
35064	Nepean	Nepean	New Democratic Party	Nouveau Parti démocratique	Devine	Sean			27-Aug-21	6:00:00
35064	Nepean	Nepean	Green Party of Canada	Le Parti Vert du Canada	Kubanek	Gordon			30-Aug-21	2:30:00
35064	Nepean	Nepean	People's Party of Canada	Parti populaire du Canada	Nera	Jay			25-Aug-21	12:00:00
35064	Nepean	Nepean	Conservative Party of Canada	Parti conservateur du Canada	Triemstra	Matt		(613) 706-4738	24-Aug-21	11:00:00
35065	Newmarket--Aurora	Newmarket--Aurora	Independent	Indépendant(e)	Baxter	Dorian		(905) 751-9872	30-Aug-21	4:30:00
35065	Newmarket--Aurora	Newmarket--Aurora	Green Party of Canada	Le Parti Vert du Canada	Flemming	Tim		(647) 985-9494	29-Aug-21	7:30:00
35065	Newmarket--Aurora	Newmarket--Aurora	People's Party of Canada	Parti populaire du Canada	Gagnon	Andre			29-Aug-21	8:30:00
35065	Newmarket--Aurora	Newmarket--Aurora	New Democratic Party	Nouveau Parti démocratique	Kelly	Yvonne		(289) 470-0276	28-Aug-21	2:30:00
35065	Newmarket--Aurora	Newmarket--Aurora	Conservative Party of Canada	Parti conservateur du Canada	KIM	Harold		(289) 466-0235	19-Aug-21	9:00:00
35065	Newmarket--Aurora	Newmarket--Aurora	Liberal Party of Canada	Parti libéral du Canada	Van Bynen	Tony		(289) 802-4415	20-Aug-21	3:00:00
35066	Niagara Centre	Niagara-Centre	Liberal Party of Canada	Parti libéral du Canada	Badawey	Vance		(905) 714-0007	24-Aug-21	11:30:00
35066	Niagara Centre	Niagara-Centre	People's Party of Canada	Parti populaire du Canada	Kimmons	Michael			24-Aug-21	11:00:00
35066	Niagara Centre	Niagara-Centre	Green Party of Canada	Le Parti Vert du Canada	McCartney	Kurtis			30-Aug-21	5:00:00
35066	Niagara Centre	Niagara-Centre	New Democratic Party	Nouveau Parti démocratique	McGlashan	Melissa		(905) 414-3126	25-Aug-21	12:30:00
35066	Niagara Centre	Niagara-Centre	Conservative Party of Canada	Parti conservateur du Canada	Speck	Graham		(289) 821-4532	24-Aug-21	8:30:00
35067	Niagara Falls	Niagara Falls	Conservative Party of Canada	Parti conservateur du Canada	Baldinelli	Tony		(905) 401-4612	27-Aug-21	3:00:00
35067	Niagara Falls	Niagara Falls	New Democratic Party	Nouveau Parti démocratique	Barker	Brian		(289) 696-9917	29-Aug-21	8:30:00
35067	Niagara Falls	Niagara Falls	Green Party of Canada	Le Parti Vert du Canada	Holm	Melanie			30-Aug-21	7:00:00
35067	Niagara Falls	Niagara Falls	Liberal Party of Canada	Parti libéral du Canada	Kaiser	Andrea		(905) 357-4189	28-Aug-21	8:00:00
35067	Niagara Falls	Niagara Falls	People's Party of Canada	Parti populaire du Canada	Taras	Peter		(416) 995-0658	21-Aug-21	10:00:00
35068	Niagara West	Niagara-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Allison	Dean		1 877 938-3326	24-Aug-21	7:00:00
35068	Niagara West	Niagara-Ouest	Liberal Party of Canada	Parti libéral du Canada	BINGHAM	Ian		(905) 309-6569	28-Aug-21	4:30:00
35068	Niagara West	Niagara-Ouest	People's Party of Canada	Parti populaire du Canada	Derkson	Shaunalee			26-Aug-21	6:30:00
35068	Niagara West	Niagara-Ouest	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Jonker	Harold			30-Aug-21	4:30:00
35068	Niagara West	Niagara-Ouest	Green Party of Canada	Le Parti Vert du Canada	Kocsis	Joanna			28-Aug-21	1:30:00
35068	Niagara West	Niagara-Ouest	New Democratic Party	Nouveau Parti démocratique	Rahman	Nameer			30-Aug-21	12:00:00
35069	Nickel Belt	Nickel Belt	New Democratic Party	Nouveau Parti démocratique	Chénier	Andréane Simone		(705) 207-2486	24-Aug-21	12:00:00
35069	Nickel Belt	Nickel Belt	Green Party of Canada	Le Parti Vert du Canada	Gravelle	Craig		(705) 280-7750	27-Aug-21	10:00:00
35069	Nickel Belt	Nickel Belt	People's Party of Canada	Parti populaire du Canada	Hobbs	David		(705) 822-4988	30-Aug-21	4:30:00
35069	Nickel Belt	Nickel Belt	Conservative Party of Canada	Parti conservateur du Canada	Humphrey	Charles		(705) 479-0355	24-Aug-21	11:00:00
35069	Nickel Belt	Nickel Belt	Liberal Party of Canada	Parti libéral du Canada	Serré	Marc G		1 888 806-8683	21-Aug-21	5:30:00
35070	Nipissing--Timiskaming	Nipissing--Timiskaming	People's Party of Canada	Parti populaire du Canada	Galante	Gregory J			26-Aug-21	8:00:00
35070	Nipissing--Timiskaming	Nipissing--Timiskaming	New Democratic Party	Nouveau Parti démocratique	Robertson	Scott		(705) 476-5172	25-Aug-21	7:00:00
35070	Nipissing--Timiskaming	Nipissing--Timiskaming	Liberal Party of Canada	Parti libéral du Canada	Rota	Anthony		(705) 494-7682	25-Aug-21	8:00:00
35070	Nipissing--Timiskaming	Nipissing--Timiskaming	Conservative Party of Canada	Parti conservateur du Canada	Trahan	Steven		1 888 472-1099	26-Aug-21	9:30:00
35071	Northumberland--Peterborough South	Northumberland--Peterborough-Sud	People's Party of Canada	Parti populaire du Canada	Lang	Nathan			29-Aug-21	6:30:00
35071	Northumberland--Peterborough South	Northumberland--Peterborough-Sud	Conservative Party of Canada	Parti conservateur du Canada	Lawrence	Philip		(289) 677-0695	27-Aug-21	3:00:00
35071	Northumberland--Peterborough South	Northumberland--Peterborough-Sud	Liberal Party of Canada	Parti libéral du Canada	Lester	Alison		1 888 566-3432	27-Aug-21	4:00:00
35071	Northumberland--Peterborough South	Northumberland--Peterborough-Sud	New Democratic Party	Nouveau Parti démocratique	McArthur-Jackson	Kim		(905) 376-2189	29-Aug-21	1:30:00
35071	Northumberland--Peterborough South	Northumberland--Peterborough-Sud	Green Party of Canada	Le Parti Vert du Canada	Wilson	Christina		(289) 435-0136	27-Aug-21	5:00:00
35072	Oakville	Oakville	New Democratic Party	Nouveau Parti démocratique	Adamo	Jerome			27-Aug-21	7:00:00
35072	Oakville	Oakville	Liberal Party of Canada	Parti libéral du Canada	Anand	Anita		(289) 351-3060	26-Aug-21	5:00:00
35072	Oakville	Oakville	Conservative Party of Canada	Parti conservateur du Canada	Colborne	Kerry			26-Aug-21	8:00:00
35072	Oakville	Oakville	Green Party of Canada	Le Parti Vert du Canada	Knox	Oriana			31-Aug-21	12:00:00
35072	Oakville	Oakville	People's Party of Canada	Parti populaire du Canada	Meaney	JD			30-Aug-21	7:00:00
35073	Oakville North--Burlington	Oakville-Nord--Burlington	Liberal Party of Canada	Parti libéral du Canada	Damoff	Pam		(905) 847-1327	23-Aug-21	9:30:00
35073	Oakville North--Burlington	Oakville-Nord--Burlington	New Democratic Party	Nouveau Parti démocratique	Dupuis	Lenaee		(365) 228-5956	25-Aug-21	4:30:00
35073	Oakville North--Burlington	Oakville-Nord--Burlington	People's Party of Canada	Parti populaire du Canada	Jubinville	Gilbert		(416) 931-2758	30-Aug-21	8:30:00
35073	Oakville North--Burlington	Oakville-Nord--Burlington	Conservative Party of Canada	Parti conservateur du Canada	Rizkalla	Hanan		(289) 888-2026	27-Aug-21	7:30:00
35073	Oakville North--Burlington	Oakville-Nord--Burlington	Green Party of Canada	Le Parti Vert du Canada	Sousa	Bruno		(365) 773-2787	30-Aug-21	8:30:00
35074	Oshawa	Oshawa	Conservative Party of Canada	Parti conservateur du Canada	Carrie	Colin		(905) 721-9022	19-Aug-21	6:00:00
35074	Oshawa	Oshawa	Liberal Party of Canada	Parti libéral du Canada	Hossain	Afroza		(905) 723-5959	25-Aug-21	3:00:00
35074	Oshawa	Oshawa	People's Party of Canada	Parti populaire du Canada	Mackie	Darryl		(905) 706-3527	24-Aug-21	12:30:00
35074	Oshawa	Oshawa	Green Party of Canada	Le Parti Vert du Canada	Mir	Sonny			30-Aug-21	1:30:00
35074	Oshawa	Oshawa	New Democratic Party	Nouveau Parti démocratique	Panylo	Shailene		(905) 242-7350	21-Aug-21	4:30:00
35075	Ottawa Centre	Ottawa-Centre	Animal Protection Party of Canada	Le Parti pour la Protection des Animaux du Canada	Bertrand	Shelby			29-Aug-21	9:00:00
35075	Ottawa Centre	Ottawa-Centre	Conservative Party of Canada	Parti conservateur du Canada	Clemenhagen	Carol		(613) 237-0020	25-Aug-21	9:00:00
35075	Ottawa Centre	Ottawa-Centre	Independent	Indépendant(e)	Joyal	"Richard ""Rich"""		(613) 710-2636	31-Aug-21	1:00:00
35075	Ottawa Centre	Ottawa-Centre	Green Party of Canada	Le Parti Vert du Canada	Keller-Herzog	Angela		(613) 744-6009	24-Aug-21	5:30:00
35075	Ottawa Centre	Ottawa-Centre	New Democratic Party	Nouveau Parti démocratique	MacEwen	Angella		(613) 663-5883	25-Aug-21	2:00:00
35075	Ottawa Centre	Ottawa-Centre	Communist Party of Canada	Parti communiste du Canada	McDonald	Alex		(613) 899-5565	24-Aug-21	4:00:00
35075	Ottawa Centre	Ottawa-Centre	Liberal Party of Canada	Parti libéral du Canada	Naqvi	Yasir		(613) 729-6101	26-Aug-21	2:30:00
35075	Ottawa Centre	Ottawa-Centre	People's Party of Canada	Parti populaire du Canada	Watteel	Regina			26-Aug-21	3:30:00
35076	Orléans	Orléans	Free Party Canada	Parti Libre Canada	Cléroux	André Junior			31-Aug-21	11:30:00
35076	Orléans	Orléans	Green Party of Canada	Le Parti Vert du Canada	Hartnett	Michael			30-Aug-21	11:00:00
35076	Orléans	Orléans	New Democratic Party	Nouveau Parti démocratique	Joanis	Jessica			25-Aug-21	2:00:00
35076	Orléans	Orléans	Liberal Party of Canada	Parti libéral du Canada	Lalonde	Marie-France		(613) 837-6776	21-Aug-21	7:00:00
35076	Orléans	Orléans	People's Party of Canada	Parti populaire du Canada	Oklobdzija	Spencer			28-Aug-21	12:00:00
35076	Orléans	Orléans	Conservative Party of Canada	Parti conservateur du Canada	Wolfe	Mary-Elsie		(613) 518-1429	25-Aug-21	6:30:00
35077	Ottawa South	Ottawa-Sud	People's Party of Canada	Parti populaire du Canada	Hall	Chylow			23-Aug-21	4:30:00
35077	Ottawa South	Ottawa-Sud	Liberal Party of Canada	Parti libéral du Canada	McGuinty	David		(343) 571-4642	23-Aug-21	3:00:00
35077	Ottawa South	Ottawa-Sud	New Democratic Party	Nouveau Parti démocratique	Mukbil	Huda		(613) 701-0713	25-Aug-21	11:30:00
35077	Ottawa South	Ottawa-Sud	Green Party of Canada	Le Parti Vert du Canada	Schram	Les			30-Aug-21	9:30:00
35077	Ottawa South	Ottawa-Sud	Conservative Party of Canada	Parti conservateur du Canada	Tannis	Eli			26-Aug-21	3:30:00
35077	Ottawa South	Ottawa-Sud	Communist Party of Canada	Parti communiste du Canada	Wasslen	Larry			26-Aug-21	3:00:00
35078	Ottawa--Vanier	Ottawa--Vanier	Free Party Canada	Parti Libre Canada	Bourguignon	Crystelle			29-Aug-21	10:00:00
35078	Ottawa--Vanier	Ottawa--Vanier	People's Party of Canada	Parti populaire du Canada	Desgranges	Jean-Jacques			29-Aug-21	2:00:00
35078	Ottawa--Vanier	Ottawa--Vanier	Libertarian Party of Canada	Parti Libertarien du Canada	Elford	Daniel			27-Aug-21	8:30:00
